id_servicio_pdf,pagina_pdf,sector,tipo_dia,sentido,servicio,estacion_origen,hora_salida_origen,hora_llegada_orig,estacion_terminal,hora_llegada_term,hora_salida_term,n_estaciones_hora
P05|Coronel a Concepción|20284,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20284,CORONEL,19:03,19:07,Desvío Lagunillas (HDLC),19:07,19:03,2
P05|Coronel a Concepción|20106,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20106,CORONEL,19:15,19:17:25,CONCEPCIÓN,19:57,19:51:15,14
P05|Coronel a Concepción|20108,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20108,CORONEL,19:29,19:31:25,CONCEPCIÓN,20:11,20:05:15,14
P05|Coronel a Concepción|20110,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20110,CORONEL,19:40,19:42:40,CONCEPCIÓN,20:25,20:18:30,14
P05|Coronel a Concepción|20286,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20286,CORONEL,19:48,19:52,Desvío Lagunillas (HDLC),19:52,19:48,2
P05|Coronel a Concepción|20112,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20112,CORONEL,20:00,20:02:25,CONCEPCIÓN,20:42,20:36:15,14
P05|Coronel a Concepción|20114,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20114,CORONEL,20:11,20:13:40,CONCEPCIÓN,20:56,20:49:30,14
P05|Coronel a Concepción|20288,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20288,CORONEL,20:20,20:24,Desvío Lagunillas (HDLC),20:24,20:20,2
P05|Coronel a Concepción|20116,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20116,CORONEL,20:30,20:32:25,CONCEPCIÓN,21:12,21:06:15,14
P05|Coronel a Concepción|20120,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20120,CORONEL,20:45,20:47:25,CONCEPCIÓN,21:27,21:21:15,14
P06|Concepción a Coronel|20117,6,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20117,CONCEPCIÓN,21:15,21:20:40,CORONEL,21:57,21:54:30,14
P06|Concepción a Coronel|20121,6,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20121,CONCEPCIÓN,21:30,21:35:40,CORONEL,22:12,22:09:30,14
P06|Concepción a Coronel|20123,6,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20123,CONCEPCIÓN,21:45,21:50:40,CORONEL,22:27,22:24:30,14
P06|Concepción a Coronel|20127,6,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20127,CONCEPCIÓN,22:25,22:30:40,CORONEL,23:07,23:04:30,14
P06|Concepción a Coronel|20129,6,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20129,CONCEPCIÓN,22:50,22:55:40,CORONEL,23:32,23:29:30,14
P06|Coronel a Concepción|20122,6,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20122,CORONEL,21:00,21:02:25,CONCEPCIÓN,21:42,21:36:15,14
P06|Coronel a Concepción|20292,6,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20292,CORONEL,21:20,21:39,LOMAS COLORADAS,21:39,21:30,4
P06|Coronel a Concepción|20126,6,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20126,CORONEL,21:35,21:37:25,CONCEPCIÓN,22:17,22:11:15,14
P06|Coronel a Concepción|20128,6,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20128,CORONEL,21:55,21:57:25,CONCEPCIÓN,22:37,22:31:15,14
P06|Coronel a Concepción|20294,6,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20294,CORONEL,22:08,22:27,LOMAS COLORADAS,22:27,22:18,4
P06|Coronel a Concepción|20298,6,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20298,CORONEL,22:50,23:25,CONCEPCIÓN,23:25,23:19,7
P07|Concepción a Coronel|20037,7,CONCEPCIÓN-CORONEL,Sábado,Concepción a Coronel,20037,CONCEPCIÓN,10:05,10:10:40,CORONEL,10:47,10:44:30,14
